NAME,SALARY,COMMISSION
Steven King,24000,0.0
Neena Kochhar,17000,0.0
Lex De Haan,17000,0.0
Alexander Hunold,9000,0.0
Nancy Greenberg,12000,0.0
Daniel Faviet,9000,0.0
John Chen,8200,0.0
Den Raphaely,11000,0.0
Matthew Weiss,8000,0.0
Adam Fripp,8200,0.0
John Russell,14000,0.4
Karen Partners,13500,0.3
Alberto Errazuriz,12000,0.3
Gerald Cambrault,11000,0.3
Eleni Zlotkey,10500,0.2
Peter Tucker,10000,0.3
David Bernstein,9500,0.25
Peter Hall,9000,0.25
Christopher Olsen,8000,0.2
Janette King,10000,0.35
Patrick Sully,9500,0.35
Allan McEwen,9000,0.35
Lindsey Smith,8000,0.3
Clara Vishney,10500,0.25
Danielle Greene,9500,0.15
Lisa Ozer,11500,0.25
Harrison Bloom,10000,0.2
Tayler Fox,9600,0.2
Ellen Abel,11000,0.3
Alyssa Hutton,8800,0.25
Jonathon Taylor,8600,0.2
Jack Livingston,8400,0.2
Michael Hartstein,13000,0.0
Hermann Baer,10000,0.0
Shelley Higgins,12000,0.0
William Gietz,8300,0.0
